customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,poly_tenure^2,poly_tenure MonthlyCharges,poly_tenure TotalCharges,poly_MonthlyCharges^2,poly_MonthlyCharges TotalCharges,poly_TotalCharges^2,tenure_x_monthly,monthly_x_total,tenure_x_total,AvgMonthlyCharge,ServiceDiversityScore,StabilityIndex,log_TotalCharges,normalized_tenure,normalized_ServiceDiversityScore,normalized_StabilityIndex,standardized_MonthlyCharges,standardized_AvgMonthlyCharge,onehot_InternetService_Fiber optic,onehot_InternetService_No,onehot_PaymentMethod_Credit card (automatic),onehot_PaymentMethod_Electronic check,onehot_PaymentMethod_Mailed check,label_Contract,freq_gender,freq_PaymentMethod,equal_width_MonthlyCharges,equal_freq_TotalCharges,custom_tenure_bins,binned_equal_width_MonthlyCharges_0.0,binned_equal_width_MonthlyCharges_1.0,binned_equal_width_MonthlyCharges_2.0,binned_equal_width_MonthlyCharges_3.0,binned_equal_width_MonthlyCharges_4.0,binned_equal_freq_TotalCharges_0.0,binned_equal_freq_TotalCharges_1.0,binned_equal_freq_TotalCharges_2.0,binned_equal_freq_TotalCharges_3.0,binned_custom_tenure_bins_0,binned_custom_tenure_bins_1,binned_custom_tenure_bins_2,binned_custom_tenure_bins_3,binned_custom_tenure_bins_4
3308-MHOOC,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.2,19.2,No,1.0,19.2,19.2,368.64,368.64,368.64,19.2,368.64,19.2,19.2,1,1.0,3.005682604407159,0.0,0.0,0.0,-1.5212704521160125,-1.515236937597936,False,True,False,False,True,0,0.5018666666666667,0.22542222222222222,0.0,0.0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False
6400-BWQKW,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.05,434.5,Yes,36.0,474.29999999999995,2607.0,6248.902499999999,34347.225,188790.25,474.29999999999995,34347.225,2607.0,72.41666666666667,4,6.0,6.0764947962925575,0.07042253521126761,0.375,0.03496503496503497,0.4667076531178991,0.2455414280276646,True,False,False,True,False,0,0.4981333333333333,0.3390222222222222,3.0,1.0,0,False,False,False,True,False,False,True,False,False,True,False,False,False,False
8104-OSKWT,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.8,1001.2,No,144.0,957.5999999999999,12014.400000000001,6368.04,79895.76,1002401.4400000001,957.5999999999999,79895.76,12014.400000000001,83.43333333333334,4,12.0,6.909952862525624,0.15492957746478872,0.375,0.07692307692307693,0.4916196594491511,0.6100495707393846,True,False,False,True,False,0,0.4981333333333333,0.3390222222222222,3.0,1.0,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False
4220-TINQT,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,No,3721.0,6487.349999999999,411832.35000000003,11310.322499999998,718006.0725,45580726.822500005,6487.349999999999,718006.0725,411832.35000000003,110.67786885245903,7,61.0,8.817645871425219,0.8450704225352113,0.75,0.4195804195804196,1.3735046835754727,1.5114887575278861,True,False,False,True,False,0,0.4981333333333333,0.3390222222222222,4.0,3.0,4,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1985-MBRYP,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.65,779.25,No,1849.0,844.9499999999999,33507.75,386.12249999999995,15312.262499999999,607230.5625,844.9499999999999,15312.262499999999,33507.75,18.122093023255815,1,86.0,6.659614381150889,0.5915492957746479,0.0,0.5944055944055944,-1.5063232483172613,-1.5509016156713729,False,True,False,False,False,2,0.4981333333333333,0.21955555555555556,0.0,1.0,3,True,False,False,False,False,False,True,False,False,False,False,False,True,False
9667-EQRXU,Female,1,No,No,30,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.3,1172.95,Yes,900.0,1209.0,35188.5,1624.0899999999997,47269.885,1375811.7025000001,1209.0,47269.885,35188.5,39.098333333333336,3,30.0,7.068129410043267,0.4084507042253521,0.25,0.20279720279720279,-0.820412673996789,-0.8568613376228642,False,False,False,True,False,0,0.4981333333333333,0.3390222222222222,1.0,1.0,3,False,True,False,False,False,False,True,False,False,False,False,False,True,False
4576-CSAJH,Male,0,No,No,22,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),55.15,1193.05,Yes,484.0,1213.3,26247.1,3041.5225,65796.70749999999,1423368.3025,1213.3,65796.70749999999,26247.1,54.22954545454545,4,33.0,7.085106169122671,0.295774647887324,0.375,0.22377622377622378,-0.32715494863799877,-0.3562153442237634,False,False,True,False,False,1,0.5018666666666667,0.216,1.0,1.0,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False
1207-BLKSA,Female,0,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.05,1255.1,No,2704.0,1198.6000000000001,65265.2,531.3025,28930.055,1575276.0099999998,1198.6000000000001,28930.055,65265.2,24.13653846153846,2,104.0,7.135766961693207,0.7183098591549296,0.125,0.7202797202797203,-1.3933888196155855,-1.3519018272160581,False,True,False,False,True,2,0.4981333333333333,0.22542222222222222,0.0,1.0,4,True,False,False,False,False,False,True,False,False,False,False,False,False,True
5909-ECHUI,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.25,56.25,Yes,1.0,56.25,56.25,3164.0625,3164.0625,3164.0625,56.25,3164.0625,56.25,56.25,3,1.0,4.047427642434349,0.0,0.25,0.0,-0.29061733935216244,-0.28936462103492017,False,False,False,True,False,0,0.4981333333333333,0.3390222222222222,1.0,0.0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False
2972-YDYUW,Female,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,94.7,5468.95,No,3249.0,5397.900000000001,311730.14999999997,8968.09,517909.565,29909414.1025,5397.900000000001,517909.565,311730.14999999997,95.94649122807017,6,85.5,8.607024754606424,0.7887323943661972,0.625,0.5909090909090909,0.9865381852300249,1.0240720769725786,True,False,False,True,False,1,0.4981333333333333,0.3390222222222222,3.0,3.0,4,False,False,False,True,False,False,False,False,True,False,False,False,False,True
6034-ZRYCV,Female,0,Yes,No,72,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,54.2,3937.45,Yes,5184.0,3902.4,283496.39999999997,2937.6400000000003,213409.79,15503512.5025,3902.4,213409.79,283496.39999999997,54.68680555555555,5,144.0,8.27854252387427,1.0,0.5,1.0,-0.35871015665758454,-0.3410859920160147,False,False,False,True,False,2,0.4981333333333333,0.3390222222222222,1.0,3.0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,True
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,1764.0,4359.599999999999,181755.0,10774.439999999999,449194.5,18727256.25,4359.599999999999,449194.5,181755.0,103.03571428571429,7,42.0,8.372976340655828,0.5774647887323944,0.75,0.2867132867132867,1.288803862049216,1.2586330025408956,True,False,False,False,False,0,0.4981333333333333,0.21955555555555556,4.0,3.0,3,False,False,False,False,True,False,False,False,True,False,False,False,True,False
5384-ZTTWP,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.8,272.95,No,225.0,297.0,4094.25,392.04,5404.41,74501.7025,297.0,5404.41,4094.25,18.196666666666665,1,15.0,5.612945607984424,0.19718309859154928,0.0,0.0979020979020979,-1.501340847051011,-1.5484341996119235,False,True,False,False,True,0,0.4981333333333333,0.22542222222222222,0.0,0.0,2,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2250-IVBWA,Male,0,Yes,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.05,5135.35,No,4096.0,5187.2,328662.4,6569.1025,416220.1175,26371819.622500002,5187.2,416220.1175,328662.4,80.23984375,4,64.0,8.544097989465381,0.8873239436619719,0.375,0.4405594405594406,0.5331396700012379,0.5043866699717546,True,False,False,True,False,0,0.5018666666666667,0.3390222222222222,3.0,3.0,4,False,False,False,True,False,False,False,False,True,False,False,False,False,True
9978-HYCIN,Male,1,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.95,4018.05,No,2209.0,3992.65,188848.35,7216.5025000000005,341333.34750000003,16144725.802500002,3992.65,341333.34750000003,188848.35,85.4904255319149,4,70.5,8.298800835277511,0.647887323943662,0.375,0.48601398601398604,0.6626821029237485,0.6781125229353058,True,False,False,False,False,1,0.5018666666666667,0.21955555555555556,3.0,3.0,3,False,False,False,True,False,False,False,False,True,False,False,False,True,False
6022-KOUQO,Female,0,Yes,Yes,2,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),29.05,44.75,No,4.0,58.1,89.5,843.9025,1299.9875,2002.5625,58.1,1299.9875,89.5,22.375,2,2.0,3.82319179172153,0.014084507042253521,0.125,0.006993006993006993,-1.1940927689655694,-1.4101858011583255,False,False,False,False,False,0,0.4981333333333333,0.21955555555555556,0.0,0.0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,1.0,20.2,20.2,408.03999999999996,408.03999999999996,408.03999999999996,20.2,408.03999999999996,20.2,20.2,1,1.0,3.054001181677967,0.0,0.0,0.0,-1.488054443674343,-1.482149965490972,False,True,False,False,True,0,0.5018666666666667,0.22542222222222222,0.0,0.0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False
6888-SBYAI,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.7,50.7,No,1.0,50.7,50.7,2570.4900000000002,2570.4900000000002,2570.4900000000002,50.7,2570.4900000000002,50.7,50.7,3,1.0,3.9454577815143836,0.0,0.25,0.0,-0.47496618620342734,-0.4729973162285702,False,False,False,False,True,0,0.5018666666666667,0.22542222222222222,1.0,0.0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False
6859-QNXIQ,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.1,8248.5,No,5184.0,8143.2,593892.0,12791.609999999999,932905.35,68037752.25,8143.2,932905.35,593892.0,114.5625,9,144.0,9.017907871431499,1.0,1.0,1.0,1.597712740556741,1.640019439952418,True,False,False,False,False,2,0.4981333333333333,0.21955555555555556,4.0,3.0,4,False,False,False,False,True,False,False,False,True,False,False,False,False,True
4821-SJHJV,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,89.6,2901.8,No,1024.0,2867.2,92857.6,8028.159999999999,260001.28,8420443.24,2867.2,260001.28,92857.6,90.68125,5,32.0,7.973431067403982,0.4366197183098592,0.5,0.21678321678321677,0.8171365421775109,0.8498611873229841,True,False,False,True,False,0,0.4981333333333333,0.3390222222222222,3.0,2.0,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False
0723-DRCLG,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,74.45,Yes,1.0,74.45,74.45,5542.802500000001,5542.802500000001,5542.802500000001,74.45,5542.802500000001,74.45,74.45,3,1.0,4.323470185213858,0.0,0.25,0.0,0.3139140142862202,0.31281827131182466,True,False,False,True,False,0,0.4981333333333333,0.3390222222222222,2.0,0.0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False
4872-JCVCA,Female,0,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),47.6,3377.8,No,5041.0,3379.6,239823.80000000002,2265.76,160783.28000000003,11409532.840000002,3379.6,160783.28000000003,239823.80000000002,47.57464788732395,5,142.0,8.125275895853342,0.9859154929577465,0.5,0.986013986013986,-0.5779358123726024,-0.5764057544051239,False,False,False,False,False,2,0.4981333333333333,0.21955555555555556,1.0,2.0,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True
7993-NQLJE,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,No,225.0,1126.5,17273.25,5640.009999999999,86481.40499999998,1326067.4024999999,1126.5,86481.40499999998,17273.25,76.77,3,15.0,7.049732157877687,0.19718309859154928,0.25,0.0979020979020979,0.335504419773305,0.3895800465999809,True,False,False,False,True,0,0.5018666666666667,0.22542222222222222,2.0,1.0,2,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3946-JEWRQ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.2,4563.0,No,2209.0,4474.400000000001,214461.0,9063.04,434397.60000000003,20820969.0,4474.400000000001,434397.60000000003,214461.0,97.08510638297872,5,70.5,8.425954710981966,0.647887323943662,0.5,0.48601398601398604,1.0031461894508595,1.0617454048436044,True,False,True,False,False,1,0.5018666666666667,0.216,3.0,3.0,3,False,False,False,True,False,False,False,False,True,False,False,False,True,False
4947-DSMXK,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,3410.0,No,1156.0,3321.8,115940.0,9545.29,333157.0,11628100.0,3321.8,333157.0,115940.0,100.29411764705883,6,34.0,8.134760782418645,0.46478873239436624,0.625,0.23076923076923075,1.086186210555033,1.167921871029156,True,False,False,False,False,0,0.5018666666666667,0.21955555555555556,3.0,2.0,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False
3804-RVTGV,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,Yes,2500.0,5192.5,250894.99999999997,10784.822499999998,521108.9149999999,25179320.409999996,5192.5,521108.9149999999,250894.99999999997,100.35799999999999,7,50.0,8.520966065168736,0.6901408450704226,0.75,0.34265734265734266,1.2904646624712994,1.1700355446590474,True,False,False,False,False,0,0.5018666666666667,0.21955555555555556,4.0,3.0,4,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0380-ZCSBI,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.0,198.7,No,100.0,200.0,1987.0,400.0,3974.0,39481.689999999995,200.0,3974.0,1987.0,19.869999999999997,1,10.0,5.296816240421769,0.1267605633802817,0.0,0.06293706293706294,-1.494697645362677,-1.4930686662862704,False,True,True,False,False,0,0.5018666666666667,0.216,0.0,0.0,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False
4145-UQXUQ,Female,1,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.1,729.95,Yes,64.0,736.8,5839.6,8482.41,67228.395,532827.0025000001,736.8,67228.395,5839.6,91.24375,5,8.0,6.594345057957625,0.09859154929577466,0.5,0.04895104895104895,0.9001765632816843,0.8684726091331514,True,False,False,True,False,0,0.4981333333333333,0.3390222222222222,3.0,1.0,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False
6082-OQFBA,Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,436.9,No,529.0,451.95,10048.699999999999,386.12249999999995,8585.085,190881.61,451.95,8585.085,10048.699999999999,18.995652173913044,1,34.5,6.081990573807353,0.3098591549295775,0.0,0.23426573426573424,-1.5063232483172613,-1.521998188419794,False,True,False,False,True,1,0.5018666666666667,0.22542222222222222,0.0,1.0,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1475-VWVDO,Male,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,490.55,No,49.0,524.3000000000001,3433.85,5610.010000000001,36742.19500000001,240639.30250000002,524.3000000000001,36742.19500000001,3433.85,70.07857142857144,3,7.0,6.197563663812933,0.08450704225352114,0.25,0.04195804195804196,0.3288612180849715,0.16818093610138224,True,False,False,True,False,0,0.5018666666666667,0.3390222222222222,2.0,1.0,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False
5016-IBERQ,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,84.25,1968.1,No,529.0,1937.75,45266.299999999996,7098.0625,165812.425,3873417.61,1937.75,165812.425,45266.299999999996,85.5695652173913,5,23.0,7.585331864551124,0.3098591549295775,0.5,0.15384615384615383,0.6394308970145799,0.6807310155012176,True,False,False,True,False,0,0.5018666666666667,0.3390222222222222,3.0,2.0,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False
3569-JFODW,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.95,6652.45,No,5184.0,6548.400000000001,478976.39999999997,8271.9025,605040.3275,44255091.0025,6548.400000000001,605040.3275,478976.39999999997,92.39513888888888,9,144.0,8.802890796113749,1.0,1.0,1.0,0.8619781535737647,0.9065685811840858,False,False,True,False,False,2,0.4981333333333333,0.216,3.0,3.0,4,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7927-AUXBZ,Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,85.15,2555.9,Yes,900.0,2554.5,76677.0,7250.522500000001,217634.885,6532624.8100000005,2554.5,217634.885,76677.0,85.19666666666667,4,30.0,7.846550866196361,0.4084507042253521,0.375,0.20279720279720279,0.6693253046120825,0.6683929315546645,True,False,False,True,False,0,0.4981333333333333,0.3390222222222222,3.0,2.0,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False
4023-RTIQM,Female,1,Yes,No,31,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),50.4,1580.1,No,961.0,1562.3999999999999,48983.1,2540.16,79637.04,2496716.01,1562.3999999999999,79637.04,48983.1,50.97096774193548,5,46.5,7.365876086316099,0.4225352112676057,0.5,0.3181818181818182,-0.48493098873592827,-0.46403181410926403,False,False,True,False,False,1,0.4981333333333333,0.216,1.0,2.0,3,False,True,False,False,False,False,False,True,False,False,False,False,True,False
5760-IFJOZ,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,107.95,313.6,No,9.0,323.85,940.8000000000001,11653.202500000001,33853.12,98344.96000000002,323.85,33853.12,940.8000000000001,104.53333333333335,7,3.0,5.751301990624177,0.02816901408450704,0.75,0.013986013986013988,1.426650297082144,1.3081846821963252,True,False,False,False,True,0,0.5018666666666667,0.22542222222222222,4.0,0.0,0,False,False,False,False,True,True,False,False,False,True,False,False,False,False
0516-QREYC,Female,1,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,459.95,No,576.0,487.20000000000005,11038.8,412.09000000000003,9336.985,211554.0025,487.20000000000005,9336.985,11038.8,19.164583333333333,1,24.0,6.133289577244604,0.323943661971831,0.0,0.16083916083916083,-1.4847328428301763,-1.5164087678600577,False,True,False,False,True,0,0.4981333333333333,0.22542222222222222,0.0,1.0,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False
3658-QQJYD,Male,0,No,No,62,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),74.3,4698.05,No,3844.0,4606.599999999999,291279.10000000003,5520.49,349065.115,22071673.802500002,4606.599999999999,349065.115,291279.10000000003,75.775,6,93.0,8.455115639608026,0.8591549295774649,0.625,0.6433566433566433,0.3089316130199696,0.3566585093535521,False,False,True,False,False,1,0.5018666666666667,0.216,2.0,3.0,4,False,False,True,False,False,False,False,False,True,False,False,False,False,True
